node,community,degree,weighted_degree,song_count,corpus_artist
Молотх,402,0,0.0,1,True
Русич,403,0,0.0,2,True
Don't Smoke,404,0,0.0,1,True
Гекто,405,0,0.0,10,True
ιllιlι.ιl,406,0,0.0,1,True
Чечерина,407,0,0.0,1,True
T9,408,0,0.0,1,True
8 Вадим Мулерман,409,0,0.0,1,True
Сергей Хижняк,410,0,0.0,1,True
Агния Барто,411,0,0.0,1,True
Михаил Михайлов,412,0,0.0,1,True
●,413,0,0.0,1,True
Вадим Мулерман,414,0,0.0,2,True
Семёнова Мария,415,0,0.0,1,True
Квартет физфака пу Сергея Никитина,416,0,0.0,1,True
Стас Михайлов,417,0,0.0,1,True
Песни нашего века,418,0,0.0,1,True
Звери,419,0,0.0,2,True
Мельница--Сонный рыцарь-,420,0,0.0,1,True
Ляпис Трубецкой,421,0,0.0,1,True
Чичерина,422,0,0.0,2,True
Хром,423,0,0.0,10,True
Чарли Z,424,0,0.0,10,True
Король,425,0,0.0,24,True
Паук,426,0,0.0,15,True
Агата Кристи,427,0,0.0,1,True
А. Грейчайник,428,0,0.0,1,True
Агата Кристи - Чудеса,429,0,0.0,1,True
Пальчики,430,0,0.0,1,True
Слот,431,0,0.0,1,True
Лавров Василий,432,0,0.0,1,True
Уматурман,433,0,0.0,1,True
Slot,434,0,0.0,1,True
трол фейс,435,0,0.0,1,True
TROLLFACE,436,0,0.0,1,True
Animal ДжаZ,437,0,0.0,1,True
Андрей Грейчайник,438,0,0.0,1,True
«Полкино»,439,0,0.0,1,True
Василий Лавров,440,0,0.0,1,True
Балабама,441,0,0.0,1,True
Коля RotoFF,442,0,0.0,1,True
НОМ,443,2,2.0,19,True
Yami — Феноменально,443,1,1.0,0,False
Сергей Любавин — Бетономешалка,443,1,1.0,0,False
Habib Hakimov,444,0,0.0,1,True
Dareen,445,0,0.0,1,True
Женщины деревни Кеба (Лешуконский,446,0,0.0,1,True
СИЛЕН Radio Beograd 2 -,447,0,0.0,1,True
О. Васильчак та С.Роговський,448,0,0.0,1,True
storm in life ♛,449,0,0.0,1,True
Антонина Матвиенко,450,0,0.0,1,True
♡ Акула ♡,451,0,0.0,1,True
Юрий Хованский,452,0,0.0,1,True
▂▃▅▆▇the Chemodan,453,0,0.0,1,True
Rewake,454,0,0.0,1,True
Аля Кумар,455,0,0.0,1,True
5 Шлюх,456,0,0.0,1,True
Вульгарный Тонн,457,2,2.0,22,True
Димы,457,1,1.0,0,False
Дима,457,1,1.0,0,False
Вульгарный ТоН,458,0,0.0,2,True
Саша rAp,459,0,0.0,1,True
Brick Bazuka – Это реп,460,0,0.0,1,True
Elect,461,0,0.0,1,True
LIN,462,1,1.0,1,True
12 ОКТЯБРЯ THE CHEMODAN CLAN В ВОРОНЕЖЕ,462,1,1.0,0,False
KOt StYlE,463,0,0.0,1,True
ОУ74,464,3,3.0,14,True
Cтрана OZ,464,2,2.0,1,True
ОУ74 — О лени,464,2,2.0,0,False
Brick Bazuka,464,1,1.0,0,False
